No.,カテゴリ,区分,判定,対象ワード,説明,代替案,危険度,補足説明・例文
23,JCIAガイドライン,,RISK,カウンセリング,医療行為の診察と誤認されないように注意が必要です。,,90,"治療や改善の訴求は不可、ヒアリングや確認の範囲は可。NG例：カウンセリングで状態を診断、カウンセリングで改善に導く　OK例：カウンセリングでお悩みを伺う、カウンセリングで状態を確認"
24,JCIAガイドライン,,RISK,各種,「各種〇〇成分」「数種成分」といった形で成分内容をぼかす表現は認められていませんので、成分名が明記されているか確認してください。,,90,
25,JCIAガイドライン,,RISK,乾燥／乾燥肌,"スキンケア商品でのみ使用できる効果効能です。参考：JCIAガイドライン、化粧品の効能効果の範囲",,90,
26,JCIAガイドライン,化粧品,RISK,くすみケア／くすみをケア,ケアの内容が曖昧ですので、具体的な内容が明記されているか確認してください。,,90,
27,JCIAガイドライン,,RISK,くま,"メイキャップ商品のみ注釈をつけて訴求可能です。また、メイク効果の注釈があっても改善、予防効果を謳うことはできません。確認をお願いします。参考：JCIAガイドライン、化粧品の効能効果の範囲",くまを目立たなくする※　※メイク効果による,90,
28,JCIAガイドライン,,RISK,毛穴,"毛穴の形状が変化するような文脈になっていませんか？",,90,"▼OK例 ・毛穴の目立ち※を防ぐ　※乾燥による▼NG例 ・毛穴を引き締める ・毛穴きゅっ ・毛穴感払拭！"
29,JCIAガイドライン,,RISK,毛穴開き／毛穴の開き,毛穴の開きなどに言及する際は下記注釈が必要になります。確認をお願いします。,毛穴の開き※　※乾燥による 毛穴の目立ち※　※乾燥による,90,"理由を併記すれば可。OK例：乾燥による毛穴の開き"
30,JCIAガイドライン,,RISK,毛穴目立ち／毛穴の目立ち／毛穴が目立ち／毛穴が目立つ／毛穴が目立って／目立つ毛穴,毛穴の開きなどに言及する際は下記注釈が必要になります。確認をお願いします。,毛穴の開き※　※乾燥による 毛穴の目立ち※　※乾燥による,90,"理由を併記すれば可。OK例：汚れが溜まることによる毛穴の目立ち、乾燥によって目立つ毛穴"
31,JCIAガイドライン,,RISK,"毛穴汚れ／毛穴の汚れ／毛穴詰まり／毛穴の詰まり",毛穴の汚れは洗顔料でのみ使用可能です。また洗顔料での訴求でも注釈が必要な表現となります。,毛穴汚れにアプローチ※　洗浄による,90,"物理的に取り除ける手段を併記すれば可。OK例：洗浄で毛穴汚れ／毛穴詰まりにアプローチ、クレンジングによって毛穴の汚れを落とす／毛穴の詰まりを取る"
32,JCIAガイドライン,,RISK,消し／消す,メイク商品であれば、シワやシミを目立たなくする旨を表示可能です。 その場合は注釈でメイク効果によるものであることを明記しているか確認してください。,シミを目立たなくする※　※メイク効果による,90,
33,JCIAガイドライン,,RISK,減少,製品の質を改善する文脈では使用できます。,,90,"効果効能の訴求は不可。NG例：肌荒れを減少、脂肪を減少　OK例：使用中のベタつきを減少、施術中の不快感の減少を目指し（※商品・サービスの質や使用感）"
34,JCIAガイドライン,,RISK,小じわ／小ジワ／小皺,"記載条件があるワードです。下記項目が全て満たされているか確認してください。・効能評価試験で小ジワが目立たなくなる効果が認められている事。・パッケージに「効能評価試験済」の記載がある事。・「乾燥による」のしばり表現が付記されている事。",,90,
35,JCIAガイドライン,,RISK,コラーゲン,"肌のコラーゲンに対する訴求は化粧品の56項目から逸脱するためNGです。文脈を確認してください。",,90,"OK例：コラーゲンが肌にうるおいを与え、乾燥を防ぎます。　NG例：肌のコラーゲンにアプローチ"
36,JCIAガイドライン,化粧品,事実確認,混合,「混合用法」については問題ありませんが、複数商品を混ぜても安全性に影響がないことを確認した上で記載してください。,,90,"効果訴求や安全性の保証の文脈は不可。事実の記載であれば可。NG例：○○成分と○○成分を混合して改善を促す／効果を高める、天然成分を混合しているため安心／安全　OK例：複数の成分をバランスよく混合、数種類のハーブを混合して香りを楽しむ"
37,JCIAガイドライン,,RISK,実感,化粧品等における効能効果の保証的な「実感」表現、及び安全性に関する「実感」表現は認められません。表現を変更してください。,,90,
38,JCIAガイドライン,,RISK,シミ／しみ,"一般化粧品で謳える効果効能の５６項目の範囲ですが、「日焼けによるシミを防ぐ」「メイキャップ効果でシミを目立たなくする」以外の効果効能はNGとなります。",シミを目立たなくする※　※メイク効果による,90,"OK例１「しみ※を防ぐ ※日焼けによる」OK例２「しみを隠す※ ※メイク効果による」"
39,JCIAガイドライン,,RISK,鍼灸師／美容師／理容師,医薬品等適正広告基準では、医師や国家資格を持つような権威のある人物や団体が使用・または推薦する表示を禁止しています。そのような文脈で使用していないか確認してください。,,90,"NG例：～推薦／使用"
40,JCIAガイドライン,化粧品,代替案アリ,浸透,"注釈が必要な表現になります。またJCIAガイドライン上、肌や髪に対して訴求できるのは角質層やキューティクルまでとなりますのでチェック箇所の確認をお願いいたします。",例：浸透※　※角質層まで（「肌の奥※まで　※角質層」はNG）,90,"▼肌のNG例 「肌の奥深くへ」「真皮層へ」「角質層の奥へ」▼髪のNG例 「毛母細胞へ」「コルテックスへ」「髪の中心まで」"
41,JCIAガイドライン,,RISK,深部／底に,"角質層の範囲を超えて浸透する印象を与えるためNGです。ただし、「角質層まで」や「角質層の範囲内」など適切な注釈があれば表現可能です。【参照】JCIAガイドライン2020年版P.29 E3 「肌・毛髪への浸透」等の表現https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide.pdf",角質層へ浸透、角質層のすみずみへ,90,
42,JCIAガイドライン,,RISK,芯まで,"角質層の範囲を超えて浸透する印象を与えるためNGです。ただし、「角質層まで」や「角質層の範囲内」など適切な注釈があれば表現可能です。【参照】JCIAガイドライン2020年版P.29 E3 「肌・毛髪への浸透」等の表現https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide.pdf",角質層へ浸透、角質層のすみずみへ,90,
43,JCIAガイドライン,,RISK,育てて／育てる,"化粧品の効果を逸脱しておりますので、言及しない方が安全です。",健やかな肌に！,90,"直接の効果・効能への訴求は不可、店舗のコンセプトとしての使用は可。NG例：(商品・施術によって）潤いのある肌を育てる、傷みにくい髪を育てるOK例：髪／肌を育てることをコンセプトに、毎日のスキンケアで肌を育てる習慣が大切です"
44,JCIAガイドライン,,RISK,大学,医薬品等適正広告基準では、医師や国家資格を持つような権威のある人物や団体が使用・または推薦する表示を禁止しています。そのような文脈で使用していないか確認してください。,,90,"NG例：○○大学推奨、○○大学教授推薦／使用"
45,JCIAガイドライン,,RISK,強い,"効能効果を強調する表現となるためNGです。【参照】JCIAガイドライン2020年版P.31 E5 「強力」「強い」の表現https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide.pdf",,90,"NG例：強い効果が期待できる、強い働きが見込まれる（※効果の強調）OK例：強い力でもみほぐし、強い肌を目指す（※物理的な強さ）"
46,JCIAガイドライン,,RISK,天然,天然の成分を使用していることは、「低刺激」「安全性」などの根拠にはなりませんので、そのような記載となっていないか確認してください。,,90,"NG例：天然成分のため安全、天然成分使用で低刺激OK例：天然成分を使用（※事実のみの内容）"
47,JCIAガイドライン,,RISK,トーンアップ,"こちらの表現は下記注釈が必要になります。また、メイク効果の注釈があっても改善、予防効果を謳うことはできません。商材の種類に合わせて確認をお願いします。参考：JCIAガイドライン、化粧品の効能効果の範囲",トーンアップ※　※洗浄による（洗顔料） トーンアップ※　※保湿効果による（スキンケア） トーンアップ※　※メイク効果による（メイク商品）,90,"物理的・表面的・具体的なアプローチを併記し、断定表現は避ける。NG例：フェイシャルで肌をトーンアップ（※具体的なアプローチ内容がない）、身体のめぐりを促して肌をトーンアップ（※内面的なアプローチ内容）OK例：汚れを落としてトーンアップを図る、スキンケアで潤いを与えてトーンアップを目指す、トーンアップを助ける化粧下地を使用"
48,JCIAガイドライン,化粧品,RISK,取り除く／取り除き,"「洗浄により角質除去」「歯のヤニと歯垢を除去する」という文脈では使用できますが、物理的に実現不可能な範囲で使用した場合は治療表現になりますので、文脈を確認してください。",,90,"NG例：不調の原因を取り除くNG例：ニキビを取り除く、（体内の）不要な物質を取り除くOK例：服／エアコン内部の汚れを取り除く、不安を取り除けるよう丁寧に説明、余分なものを取り除いたシンプルな空間"
49,JCIAガイドライン,,RISK,ニキビ／ニキビ跡,"一般化粧品で謳える効果効能の５６項目の範囲ですが、使用はメイキャップ商材および洗顔料に限られ、「防ぐ」以外の効果効能も訴求できません。また、注釈が必要な表現になります。下記注釈が記載されているか確認してください。参考：JCIAガイドライン、化粧品の効能効果の範囲","※ニキビを目立たなくする　※メイク効果によるニキビ跡を目立たなくする※　※メイク効果による",90,"OK例１「ニキビを防ぐ※ ※洗浄による」OK例２「ニキビを隠す※ ※メイク効果による」"
50,JCIAガイドライン,,RISK,ネイル,ネイルケア商品以外では言及することはできませんので確認をお願いします。,,90,
51,JCIAガイドライン,,RISK,年々,"薬機法上、若返り訴求はできません。文脈の確認をお願いします。",,90,"NG例：年々増える悩みにアプローチ"
52,JCIAガイドライン,,RISK,％,調査結果に基づき満足度などを数値で表すことは効能効果又は安全性が確実であるかのような誤解を与えるおそれがあるので、使用できません。,,90,
53,JCIAガイドライン,,RISK,秘訣,"化粧品広告において、製品や製造方法の優秀性を訴求する際の最大級に類する表現での訴求はNGです。「私たちの最高技術を結集」、「今持ちうる最高の技術」などの自社の中で最高という表現は現状使用可能です（グレー）。",「こだわりの製造方法」、「独自の製造方法」、「研究を重ねてたどり着いた製法」,90,"NG例：「近代科学の粋を集めた製造方法」「理想的な製造方法」「家伝の秘法により作られた」製造方法や技術に関する内容は不可。NG例：秘訣となる技術で対応、秘訣は製造方法OK例：美しさの秘訣は肌を整えることから、無理をしないことがダイエットの秘訣"
54,JCIAガイドライン,,RISK,"ビフォー／アフター／使用前／使用後","使用前後の写真を掲載することで、承認外の効能効果を連想させるもの、効果発現までの時間や効果持続時間の保証となるもの、安全性の保証となるとなるものは認められません。チェック箇所にそのような画像が掲載されていないか確認して下さい。",,90,"▼OK例 ・汚れを落とす前と後の写真 ・乾燥している状態と保湿後の写真NG例：ビフォーアフター／使用前後の比較写真を掲載しています（※比較写真によって効果をアピールすることがNGであるため、そのような文章も避ける）OK例：使用前／使用後の注意点も丁寧にお伝えしています、使用前後の違いを感じてみてください（※具体的な効果・変化を明示しない範囲であれば可）"
55,JCIAガイドライン,,RISK,日焼け,UVケア商品でのみ使用可能です。紫外線やUVへの言及は避けてください。,,90,
56,JCIAガイドライン,,RISK,防ぎ／防ぐ／防げ／防げる,"一般化粧品の効果効能５６項目の範囲内ですが、対象の症状次第ではNGとなります。一般化粧品の５６項目を確認してください。",,90,"NG例「シワを防ぐ」  OK例「洗浄によりニキビを防ぐ」"
57,JCIAガイドライン,,RISK,ほうれい線,"メイキャップ商品のみ注釈をつけて訴求可能です。また、メイク効果の注釈があっても改善、予防効果を謳うことはできません。確認をお願いします。参考：JCIAガイドライン、化粧品の効能効果の範囲",ほうれい線を目立たなくする※　※メイク効果による,90,
58,JCIAガイドライン,,RISK,満足,「満足度93％!!」、「愛用者の98％が満足」のように、調査結果に基づき数値で示すことは認められません。ただし客観的調査に基づいて「使用方法、使用感、香りの嗜好性等」に関する調査結果を記載することは、調査方法が適正に引用されていれば可能となります。,,90,"具体的な数値の記載がなく、満足度を保証していなければ可。"
59,JCIAガイドライン,,RISK,無香料,"「無添加」等の表現は、添加していない成分等を明示し保証的や他社誹謗に触れない範囲で記載できますが、下記項目に違反していないか確認してください。・添加していない成分等を明示していること・キャッチフレーズのように強調して使用しないこと。・当該成分をキャリーオーバー成分として含有するときには、無添加等の表現はできないので注意すること。",,90,"「無香料」=香りがないと誤認される可能性があるため、「香料を使用していない」事実内容に留める。NG例：無香料で安心、無香料の○○を使用OK例：香料を使用していない、合成香料を添加していない無香料の○○を使用"
60,JCIAガイドライン,,RISK,無添加／不使用／フリー,"「無添加」等の表現は、添加していない成分等を明示し保証的や他社誹謗に触れない範囲で記載できますが、下記項目に違反していないか確認してください。・添加していない成分等を明示していること・キャッチフレーズのように強調して使用しないこと。・当該成分をキャリーオーバー成分として含有するときには、無添加等の表現はできないので注意すること。",,90,"具体的な成分を明示し、「添加物を使用していない」事実内容に留める。NG例：無添加で安全／安心、無添加の○○使用、無添加の化粧品OK例：香料無添加の○○を使用、着色料不使用／アルコールフリーの化粧品"
61,JCIAガイドライン,,RISK,目立たなく,メイク商品であれば使用が可能ですが、それ以外の商品では基本的にニキビなどの症状や毛穴を目立たなくする表現はNGです。,,90,
62,JCIAガイドライン,,RISK,薬剤師,医薬品等適正広告基準では、医師や国家資格を持つような権威のある人物や団体が使用・または推薦する表示を禁止しています。そのような文脈で使用していないか確認してください。,,90,
63,JCIAガイドライン,,RISK,有効成分,"承認を受けている成分でしか訴求できませんので、確認をお願いします。※一般化粧品で「有効成分」の訴求は不可。薬用化粧品・医薬品・医薬部外品は、厚生労働省認可済みの成分を明示した上で使用可。",,90,
64,JCIAガイドライン,,RISK,ゆらぎ肌／揺らぎ肌,"ゆらぎ肌を予防・改善できるような表現は不可となります。",,90,"OK例：「ゆらぎ肌の人でも使える」NG例：「ゆらぎ肌専用」「ゆらぎ肌にアプローチ」"
65,JCIAガイドライン,,RISK,抑制,"「防ぐ」の類似表現ですが、「抑える」となるとすでにある症状を止める」といった解釈にもなりますので、化粧品の56項目の表現を使用した方が安全です。製品の使用感に関するものであれば使用可能です。",,90,"NG例：ニキビを抑制OK例：こだわりの製法でベタつきを抑えます"
66,JCIAガイドライン,,RISK,予防,"医薬部外品の効果効能ですので、なるべく化粧品の56項目から逸脱しない方が安全です。",,90,"NG例：肌荒れ予防OK例：肌荒れを防ぐ"
67,JCIAガイドライン,,RISK,理想／理想的,"化粧品広告において、製品や製造方法の優秀性を訴求する際の最大級に類する表現での訴求はNGです。「私たちの最高技術を結集」、「今持ちうる最高の技術」などの自社の中で最高という表現は現状使用可能です（グレー）。",「こだわりの製造方法」、「独自の製造方法」、「研究を重ねてたどり着いた製法」,90,"NG例：「近代科学の粋を集めた製造方法」「理想的な製造方法」「家伝の秘法により作られた」製造方法や技術に関する内容は不可。NG例：理想の技術、理想的な機器OK例：理想をサポート、理想の肌を目指す"
68,JCIAガイドライン,化粧品,RISK,薄く,一般化粧品では訴求できない症状となりますので、「化粧品で訴求可能な５６項目」を確認してください。    例外として、「カバーする」「目立たなくする」までであれば可能ですが、使用はメイク商品に限られ、「メイク効果によるもの」などの注釈が必要です。,,80,
69,JCIAガイドライン,化粧品,RISK,くすみ,"クスミを減らすような表現は、クスミが出る原因がはっきりと明記され、物理的にその原因を排除できる場合は訴求可能ですが、誇張表現にならないように注意してください。",,80,"OK例 ・乾燥によるクスミ ・角質層の汚れによるクスミ ・メイク効果でカバーできるクスミNG例 ・内的要因など、肌内部に原因があるクスミ ・クスミを予防する表現"
70,JCIAガイドライン,化粧品,RISK,消し／消す,症状に対して用いた場合は一般化粧品では訴求できない効果となりますので、「化粧品で訴求可能な５６項目」を確認してください。    例外として、「カバーする」「目立たなくする」までであれば可能ですが、使用はメイク商品に限られ、「メイク効果によるもの」などの注釈が必要です。,,80,
71,"JCIAガイドライン／医療広告ガイドライン",,NG,スーパー,"効能効果を強調する表現となるためNGです。チェック箇所の削除をお願いします。【参照】JCIAガイドライン2020年版P.31 E5 「強力」、「強い」の表現https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide.pdf医療広告ガイドライン上、誇大表現・比較優良表現は認められません。削除してください。",,100,
72,"JCIAガイドライン／医療広告ガイドライン",,NG,年齢とともに／年齢を重ねるにつれ／年を重ねるにつれ,"薬機法上、老化に関する記述は不可となります。そのような訴求となっていないか確認してください。老化による悩みの訴求は不可となります。",40代の肌に合ったアプローチ、年齢に応じたメニュー,100,"NG例：年齢を重ねるにつれ増える悩みに"
73,"JCIAガイドライン／医療広告ガイドライン",,NG,若見え,薬機法上、若返りに関する記述は不可となります。,エイジングケア※   ※年齢に応じた化粧品等によるケア,100,
74,"JCIAガイドライン／医療広告ガイドライン",,NG,若々しい／若々しく,"化粧品５６項目の結果であれば訴求可能ですが、客観的なエビデンスが必要になるので確認をお願いします。薬機法上、若返りに関する記述は不可となります。",エイジンングケア※   ※年齢に応じた化粧品等によるケア,100,"OK例：化粧品の潤い効果での若々しい印象NG例：あの頃の自分のように若々しくなろう！「肌が実際に若返る」というような物理的な変化を示す表現はNG"
75,"医療広告ガイドライン／JCIAガイドライン","医療広告／化粧品",RISK,ゼロ,"症状や悩みをゼロにすることはきませんので、そのような文脈で使用している場合はNGです。治療が成功することを保証するような文脈で使用していないか確認してください。",,90,"NG例：失敗する心配はゼロ"
76,"医療広告ガイドライン／JCIAガイドライン",医療広告,代替案アリ,代の／代は,"「若返り」を意味する表現は薬機法でNGになっています。文脈を確認してください。",憧れの肌に,90,"NG例：20代の頃のような、「20代は良かったな...」そんなあなたに！老化や若返りへの訴求が不可。NG例：20代の肌を目指すOK例：40代の肌に合わせたケア"
77,"医療広告ガイドライン／JCIAガイドライン",医療広告,代替案アリ,年齢,"薬機法上、老化に関する記述は不可となります。そのような訴求となっていないか確認してください。",エイジンングケア※   ※年齢に応じた化粧品等によるケア,90,"NG例：年齢を重ねるにつれ増える悩みに老化や若返りへの訴求が不可。NG例：年齢を感じさせない肌に、年齢とともに増える悩みOK例：年齢に合わせたケア、年齢を問わずに試せるメニュー"
78,"医療広告ガイドライン／JCIAガイドライン",医療広告,RISK,初めて,"医療広告では最大級表現を用いた訴求は例え根拠があっても認められません。化粧品広告において、製品や製造方法の優秀性を訴求する際の最大級表現はNGです。「私たちの最高技術を結集」、「今持ちうる最高の技術」などの自社の中で最高という表現は現状使用可能です（グレー）。",,90,"NG例：初めての技術OK例：初めてご利用の方へ"
