No.,カテゴリ,区分,判定,対象ワード,説明,代替案,危険度,補足説明・例文
70,薬機法,,RISK,狂犬病,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
71,薬機法,,RISK,禁煙,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
72,薬機法,,RISK,金属アレルギー,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
73,薬機法,,RISK,緊張型頭痛,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
74,薬機法,健康食品,RISK,筋肉痛,"具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。医薬品でしか訴求できません。削除をお願いします。",,70,
75,薬機法,,RISK,頚椎症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
76,薬機法,,RISK,月経困難症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
77,薬機法,,RISK,月経不順,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
78,薬機法,,RISK,月経前症候群,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
79,薬機法,,RISK,腱鞘炎,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
80,薬機法,健康食品,RISK,高血圧／高血圧症,"具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。医薬品的な効能効果の表現として利用不可です。",,70,"NG例：「高血圧の予防」「高血圧の改善」"
81,薬機法,,RISK,口内炎,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
82,薬機法,,RISK,五十肩,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
83,薬機法,,RISK,骨密度,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
84,薬機法,,RISK,こむら返り,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
85,薬機法,,RISK,コロナ,"具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。新型コロナウイルス感染症、コロナウイルスも同様に使用NG。",,70,
86,薬機法,,RISK,再生医療,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
87,薬機法,,RISK,坐骨神経痛,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
88,薬機法,,RISK,産褥,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
89,薬機法,,RISK,子宮がん,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
90,薬機法,,RISK,子宮筋腫,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
91,薬機法,,RISK,子宮頸がん,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
92,薬機法,,RISK,子宮体がん,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
93,薬機法,,RISK,子宮内膜症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
94,薬機法,,RISK,自己免疫疾患,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
95,薬機法,,RISK,歯周病,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
96,薬機法,,RISK,歯肉炎,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
97,薬機法,,RISK,斜視,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
98,薬機法,,RISK,ジャンパー膝,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
99,薬機法,,RISK,食物アレルギー,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
100,薬機法,,RISK,食欲不振,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
101,薬機法,,RISK,自律神経失調症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
102,薬機法,,RISK,神経痛,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
103,薬機法,,RISK,心疾患,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
104,薬機法,,RISK,睡眠障害,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
105,薬機法,,RISK,スポーツ障害,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
106,薬機法,,RISK,脊柱管狭窄症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
107,薬機法,,RISK,切迫早産,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
108,薬機法,,RISK,仙腸関節炎,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
109,薬機法,,RISK,側弯症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
110,薬機法,,RISK,鼠径ヘルニア,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
111,薬機法,,RISK,大腿ヘルニア,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
112,薬機法,,RISK,多胎妊娠,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
113,薬機法,,RISK,脱臼,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
114,薬機法,,RISK,脱毛症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
115,薬機法,,RISK,多嚢胞性卵巣症候群,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
116,薬機法,,RISK,多発性硬化症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
117,薬機法,,RISK,打撲,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
118,薬機法,,RISK,男性不妊,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
119,薬機法,,RISK,知覚過敏,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
120,薬機法,,RISK,チョコレート嚢胞,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
121,薬機法,,RISK,椎間板ヘルニア,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
122,薬機法,,RISK,突き指,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
123,薬機法,,RISK,つわり,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
124,薬機法,,RISK,できもの,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
125,薬機法,,RISK,テニス肘,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
126,薬機法,,RISK,透析,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
127,薬機法,,RISK,ドライアイ,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
128,薬機法,,RISK,ドライマウス,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
129,薬機法,,RISK,肉離れ,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
130,薬機法,,RISK,乳酸菌,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
131,薬機法,,RISK,乳腺炎,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
132,薬機法,,RISK,寝違え,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
133,薬機法,,RISK,捻挫,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
134,薬機法,,RISK,脳血管障害,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
135,薬機法,,RISK,脳出血,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
136,薬機法,,RISK,梅毒,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
137,薬機法,,RISK,稗粒腫,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
138,薬機法,健康食品,RISK,肌荒れ,"具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。肌への訴求を想起させるため、健康食品では使用NGです。",,70,
139,薬機法,,RISK,パニック障害,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
140,薬機法,,RISK,ばね指,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
141,薬機法,,RISK,避妊,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
142,薬機法,,RISK,飛蚊症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
143,薬機法,,RISK,ピル,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
144,薬機法,,RISK,不安障害,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
145,薬機法,,RISK,不育症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
146,薬機法,,RISK,不正咬合,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
147,薬機法,,RISK,不妊症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
148,薬機法,,RISK,不眠症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
149,薬機法,,RISK,ヘルニア,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
150,薬機法,,RISK,変形性関節症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
151,薬機法,,RISK,変形性膝関節症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
152,薬機法,,RISK,片頭痛,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
153,薬機法,,RISK,発疹,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
154,薬機法,,RISK,巻き爪,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
155,薬機法,,RISK,むし歯,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
156,薬機法,,RISK,めまい,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
157,薬機法,,RISK,野球肩,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
158,薬機法,,RISK,野球肘,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
159,薬機法,,RISK,薬剤アレルギー,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
160,薬機法,,RISK,腰椎すべり症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
161,薬機法,,RISK,腰椎椎間板ヘルニア,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
162,薬機法,,RISK,腰部脊柱管狭窄症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
163,薬機法,,RISK,梨状筋症候群,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
164,薬機法,,RISK,流産,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
165,薬機法,,RISK,淋菌感染症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
166,薬機法,,RISK,老眼,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
167,薬機法,,RISK,ワクチン,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
168,薬機法,,NG,あっという間,"医薬品等適正広告基準では、原則として即効性、持続性などについての表現は認められていません。根拠なく安全性を訴求することはできません。事実確認をお願いします。",いつの間にか／使用した瞬間の感想にとどめる　例：肌に乗せた瞬間じんわりと広がって気持ちいい,100,"NG例：「あっという間に治るので安心。」"
169,薬機法,,NG,アンチエイジング,薬機法上、若返りに関する記述は不可となります。,エイジンングケア※   ※年齢に応じた化粧品等によるケア,100,
170,薬機法,,NG,安眠／快眠,薬機法上NGとなる効果効能です。成分そのものの説明をする際は用いる事ができますが、商品全体として効果があると誤認されやすいので、注意が必要です。,,100,
171,薬機法,,NG,癒し／癒す／癒せ,"薬機法では、治療や身体機能に影響を与えるような訴求は不可となります。※「商品・施術による直接的な効果効能の訴求か否か」が判断基準。",リラックス、いたわる、ほぐす、解きほぐす,100,"直接的な効果効能（状態の改善・変化）の訴求は不可、環境に関する内容は可。NG例：肩こりを癒す、痛みを癒す、心身の疲れを癒す　OK例：癒しの空間/時間、気分を癒す、癒しを感じたい方に、疲れを癒せるような空間/香り"
172,薬機法,化粧品,NG,インナーケア,サプリでは文脈によっては「インナー」等の表現は可能ですが、化粧品、医薬部外品では「インナー」の表示は不可となります。,,100,"外からのアプローチで内側にまで効果を発揮するような表現は不可、食事管理など実際に摂取するものでの訴求は可。NG例：肌全体に美容液が行き渡ることでインナーケアも可能、身体を深くもみほぐしてインナーケアを図る。　OK例：バランスの良い食事でインナーケア、こまめな水分補給がインナーケアに繋がる"
173,薬機法,,NG,薄毛,薬機法上訴求NGとなる表現ですので、削除をお願いします。,,100,
174,薬機法,,NG,エイジングサイン,老化の特徴や目じるしに言及して、効果・効能を訴求することはできません。,,100,
175,薬機法,,NG,衰え,薬機法上、老化に関する記述は不可となります。,エイジングケア※   ※年齢に応じた化粧品等によるケア,100,
176,薬機法,,NG,改善効果／改善の効果,化粧品において、体質/肌質の改善を謳うことはできません。化粧品で広告可能なの効果・効能56項目に即した表現にご変更ください。,,100,
177,薬機法,,NG,顔が小さく,薬機法では身体の構造を変化させる効果は訴求できません。,,100,
178,薬機法,,NG,顔痩せ,薬機法では身体の構造を変化させる効果は訴求できません。,,100,
179,薬機法,,NG,体が温ま,薬機法上NGとなる効果効能です。成分そのものの説明をする際は用いる事ができますが、商品全体として効果があると誤認されやすいので、注意が必要です。,,100,
180,薬機法,,NG,完治,"治療の意味合いとなりますので、使用NGです。薬機法上、人体に対して訴求できない効果です。 薬機法の対象外となる健康食品や雑貨であっても、医薬品・医療機器的な訴求となるためNGとなります。",,100,
181,薬機法,,NG,漢方,医薬品で使用可能な単語ですので、NGとなります。,,100,
182,薬機法,,NG,筋膜リリース,"薬機法上NGとなる効果効能です。成分そのものの説明をする際は用いる事ができますが、商品全体として効果があると誤認されやすいので、注意が必要です。薬機法上、人体に対して訴求できない効果です。 薬機法の対象外となる健康食品や雑貨であっても、医薬品・医療機器的な訴求となるためNGとなります。",,100,
183,薬機法,,代替案アリ,ケアができる,言い切り表現になりますので、修正をお願いします。 また、何に対処するかによってOK/NGが異なります。対象が症状や疾患となる場合は薬機法違反となります。,対処をサポート,100,
184,薬機法,,NG,血行,薬機法上訴求できない表現となりますので、NGです。,めぐり、身体のめぐり,100,
185,薬機法,,NG,血流,薬機法上訴求できない表現となりますので、NGです。,,100,
186,薬機法,,NG,解毒,"薬機法上訴求できない表現となりますので、NGです。薬機法上、人体に対して訴求できない効果です。 薬機法の対象外となる健康食品や雑貨であっても、医薬品・医療機器的な訴求となるためNGとなります。",,100,
187,薬機法,,NG,ケミカルピーリング,"「ケミカルピーリング」は「ピーリング」と区別され、国内で承認を受けていない治療法となります。適正広告ガイドラインに記載されているNG表現です。どのような文脈でも記載不可です。",,100,
188,薬機法,,NG,健康になれる,薬機法上NGとなる効果効能です。「になれる」の部分も効果効能の保証表現となりNGです。,,100,
189,薬機法,,代替案アリ,更年期,「更年期＝障害」と広く世間的に認知されているため、「更年期の方へ」といった訴求はNGとなります。,ゆらぎ期の健康を、閉経前後の体調を,100,
190,薬機法,,NG,小顔,"薬機法では身体の構造を変化させる効果は訴求できませんので、削除してください。適正広告ガイドラインに記載されているNG表現です。どのような文脈でも記載不可です。",,100,
191,薬機法,,NG,再生,治療表現となりますので、体の部位や疾患に対して使用した場合はNGとなります。,,100,
192,薬機法,,NG,再生を促す,薬機法上NGとなる効果効能です。成分そのものの説明をする際は用いる事ができますが、商品全体として効果があると誤認されやすいので、注意が必要です。,,100,
193,薬機法,,NG,サビ／さび／錆,「身体の錆に」「錆がなくなる」といった記載は抗酸化作用の訴求になりますのでNGです。,,100,
194,薬機法,,NG,シェイプアップ,薬機法では身体の構造を変化させる効果は訴求できませんので、削除してください。,,100,
195,薬機法,,NG,実感できます,効果効能を保証する表現ですので、NGとなります。,実感が期待できる,100,
196,薬機法,,NG,脂肪を減ら,薬機法上NGとなる効果効能です。成分そのものの説明をする際は用いる事ができますが、商品全体として効果があると誤認されやすいので、注意が必要です。,,100,
197,薬機法,,NG,修復,"「補修」と異なり、「修復」は治療的意味合いとなりますので物理的・薬理的かどうかに関わらずNGとなります。適正広告ガイドラインに記載されているNG表現です。どのような文脈でも記載不可です。",,100,
